MAKER,MODEL,MODELYEAR,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS,FUEL_TYPE,DATE_REG,TYPE,COLOUR,STATE
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-03-06,MOTOKAR,SILVER,JOHOR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-03-06,MOTOKAR,BLACK,PAHANG
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A4 QUATTRO,2014,COMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-01-23,MOTOKAR,BLACK,JOHOR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-02-19,MOTOKAR,BLUE,W.P. KUALA LUMPUR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-02-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-02-27,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-03-07,MOTOKAR,BLACK,JOHOR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,A5 CABRIOLET QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-04-30,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-01-23,MOTOKAR,BLACK,JOHOR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-02-19,MOTOKAR,BLUE,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-02-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-02-27,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-03-07,MOTOKAR,BLACK,JOHOR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,AS8,11.5,8.1,10.0,28,230,PETROL,2025-04-30,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-01-23,MOTOKAR,BLACK,JOHOR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-02-19,MOTOKAR,BLUE,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-02-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-02-27,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-03-07,MOTOKAR,BLACK,JOHOR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,A5 QUATTRO,2014,SUBCOMPACT,2.0,4,M6,10.8,7.5,9.3,30,214,PETROL,2025-04-30,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A6 QUATTRO,2014,MID-SIZE,2.0,4,AS8,12.0,8.1,10.2,28,235,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,A6 QUATTRO,2014,MID-SIZE,2.0,4,AS8,12.0,8.1,10.2,28,235,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A6 QUATTRO,2014,MID-SIZE,2.0,4,AS8,12.0,8.1,10.2,28,235,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A6 QUATTRO,2014,MID-SIZE,2.0,4,AS8,12.0,8.1,10.2,28,235,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,A6 QUATTRO,2014,MID-SIZE,3.0,6,AS8,12.8,8.6,10.9,26,251,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,A6 QUATTRO,2014,MID-SIZE,3.0,6,AS8,12.8,8.6,10.9,26,251,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A6 QUATTRO,2014,MID-SIZE,3.0,6,AS8,12.8,8.6,10.9,26,251,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A6 QUATTRO,2014,MID-SIZE,3.0,6,AS8,12.8,8.6,10.9,26,251,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,A7 QUATTRO,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,A7 QUATTRO,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-01-27,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A7 QUATTRO,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A7 QUATTRO,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-03-28,MOTOKAR,WHITE,W.P. KUALA LUMPUR
AUDI,A7 QUATTRO,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,A7 QUATTRO,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,A7 QUATTRO,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-04-24,MOTOKAR,BLUE,W.P. KUALA LUMPUR
AUDI,A8,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-01-31,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8,2014,MID-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-04-25,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8,2014,MID-SIZE,4.0,8,AS8,13.5,8.6,11.3,25,260,PETROL,2025-01-31,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8,2014,MID-SIZE,4.0,8,AS8,13.5,8.6,11.3,25,260,PETROL,2025-04-25,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8L,2014,FULL-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-01-31,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8L,2014,FULL-SIZE,3.0,6,AS8,13.1,8.8,11.2,25,258,PETROL,2025-04-25,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8L,2014,FULL-SIZE,4.0,8,AS8,14.7,9.7,12.5,23,288,PETROL,2025-01-31,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8L,2014,FULL-SIZE,4.0,8,AS8,14.7,9.7,12.5,23,288,PETROL,2025-04-25,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8L,2014,FULL-SIZE,6.3,12,AS8,18.2,12.6,15.7,18,361,PETROL,2025-01-31,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,A8L,2014,FULL-SIZE,6.3,12,AS8,18.2,12.6,15.7,18,361,PETROL,2025-04-25,MOTOKAR,GREY,W.P. KUALA LUMPUR
AUDI,ALLROAD QUATTRO,2014,STATION WAGON - SMALL,2.0,4,AS8,11.8,8.8,10.5,27,242,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,ALLROAD QUATTRO,2014,STATION WAGON - SMALL,2.0,4,AS8,11.8,8.8,10.5,27,242,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,ALLROAD QUATTRO,2014,STATION WAGON - SMALL,2.0,4,AS8,11.8,8.8,10.5,27,242,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,ALLROAD QUATTRO,2014,STATION WAGON - SMALL,2.0,4,AS8,11.8,8.8,10.5,27,242,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,Q5,2014,SUV - SMALL,2.0,4,AS8,12.0,8.5,10.4,27,239,PETROL,2025-01-16,JIP,BLACK,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,2.0,4,AS8,12.0,8.5,10.4,27,239,PETROL,2025-01-16,JIP,BLUE,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,2.0,4,AS8,12.0,8.5,10.4,27,239,PETROL,2025-01-23,JIP,GREY,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,2.0,4,AS8,12.0,8.5,10.4,27,239,PETROL,2025-01-28,JIP,BLUE,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,2.0,4,AS8,12.0,8.5,10.4,27,239,PETROL,2025-03-26,JIP,BLACK,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,3.0,6,AS8,12.9,9.2,11.2,25,258,PETROL,2025-01-16,JIP,BLACK,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,3.0,6,AS8,12.9,9.2,11.2,25,258,PETROL,2025-01-16,JIP,BLUE,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,3.0,6,AS8,12.9,9.2,11.2,25,258,PETROL,2025-01-23,JIP,GREY,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,3.0,6,AS8,12.9,9.2,11.2,25,258,PETROL,2025-01-28,JIP,BLUE,W.P. KUALA LUMPUR
AUDI,Q5,2014,SUV - SMALL,3.0,6,AS8,12.9,9.2,11.2,25,258,PETROL,2025-03-26,JIP,BLACK,W.P. KUALA LUMPUR
AUDI,R8,2014,TWO-SEATER,4.2,8,A7,17.6,11.0,14.6,19,336,PETROL,2025-02-06,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,R8,2014,TWO-SEATER,4.2,8,M6,21.2,13.4,17.7,16,407,PETROL,2025-02-06,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,R8,2014,TWO-SEATER,5.2,10,A7,18.8,11.3,15.4,18,354,PETROL,2025-02-06,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,R8,2014,TWO-SEATER,5.2,10,M6,21.1,13.8,17.8,16,409,PETROL,2025-02-06,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,R8 SPYDER,2014,TWO-SEATER,4.2,8,A7,17.6,11.0,14.6,19,336,PETROL,2025-02-06,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,R8 SPYDER,2014,TWO-SEATER,4.2,8,M6,21.2,13.4,17.7,16,407,PETROL,2025-02-06,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,R8 SPYDER,2014,TWO-SEATER,5.2,10,A7,18.8,11.3,15.4,18,354,PETROL,2025-02-06,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,R8 SPYDER,2014,TWO-SEATER,5.2,10,M6,21.1,13.8,17.8,16,409,PETROL,2025-02-06,MOTOKAR,GREEN,W.P. KUALA LUMPUR
AUDI,RS7,2014,MID-SIZE,4.0,8,AS8,15.3,9.3,12.6,22,290,PETROL,2025-02-28,MOTOKAR,BLACK,PULAU PINANG
AUDI,SQ5,2014,SUV - SMALL,3.0,6,AS8,14.9,10.1,12.7,22,292,PETROL,2025-01-16,JIP,BLACK,W.P. KUALA LUMPUR
AUDI,SQ5,2014,SUV - SMALL,3.0,6,AS8,14.9,10.1,12.7,22,292,PETROL,2025-01-16,JIP,BLUE,W.P. KUALA LUMPUR
AUDI,SQ5,2014,SUV - SMALL,3.0,6,AS8,14.9,10.1,12.7,22,292,PETROL,2025-01-23,JIP,GREY,W.P. KUALA LUMPUR
AUDI,SQ5,2014,SUV - SMALL,3.0,6,AS8,14.9,10.1,12.7,22,292,PETROL,2025-01-28,JIP,BLUE,W.P. KUALA LUMPUR
AUDI,SQ5,2014,SUV - SMALL,3.0,6,AS8,14.9,10.1,12.7,22,292,PETROL,2025-03-26,JIP,BLACK,W.P. KUALA LUMPUR
AUDI,TT COUPE QUATTRO,2014,SUBCOMPACT,2.0,4,A6,10.4,7.6,9.1,31,209,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,TT COUPE QUATTRO,2014,SUBCOMPACT,2.0,4,A6,10.4,7.6,9.1,31,209,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,TT COUPE QUATTRO,2014,SUBCOMPACT,2.0,4,A6,10.4,7.6,9.1,31,209,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,TT COUPE QUATTRO,2014,SUBCOMPACT,2.0,4,A6,10.4,7.6,9.1,31,209,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,TT ROADSTER QUATTRO,2014,TWO-SEATER,2.0,4,A6,10.4,7.6,9.1,31,209,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,TT ROADSTER QUATTRO,2014,TWO-SEATER,2.0,4,A6,10.4,7.6,9.1,31,209,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,TT ROADSTER QUATTRO,2014,TWO-SEATER,2.0,4,A6,10.4,7.6,9.1,31,209,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,TT ROADSTER QUATTRO,2014,TWO-SEATER,2.0,4,A6,10.4,7.6,9.1,31,209,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,TTS COUPE QUATTRO,2014,SUBCOMPACT,2.0,4,A6,11.5,8.8,10.3,27,237,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,TTS COUPE QUATTRO,2014,SUBCOMPACT,2.0,4,A6,11.5,8.8,10.3,27,237,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,TTS COUPE QUATTRO,2014,SUBCOMPACT,2.0,4,A6,11.5,8.8,10.3,27,237,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,TTS COUPE QUATTRO,2014,SUBCOMPACT,2.0,4,A6,11.5,8.8,10.3,27,237,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
AUDI,TTS ROADSTER QUATTRO,2014,TWO-SEATER,2.0,4,A6,11.5,8.8,10.3,27,237,PETROL,2025-01-23,MOTOKAR,ORANGE,W.P. KUALA LUMPUR
AUDI,TTS ROADSTER QUATTRO,2014,TWO-SEATER,2.0,4,A6,11.5,8.8,10.3,27,237,PETROL,2025-03-21,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,TTS ROADSTER QUATTRO,2014,TWO-SEATER,2.0,4,A6,11.5,8.8,10.3,27,237,PETROL,2025-04-17,MOTOKAR,BLACK,W.P. KUALA LUMPUR
AUDI,TTS ROADSTER QUATTRO,2014,TWO-SEATER,2.0,4,A6,11.5,8.8,10.3,27,237,PETROL,2025-04-23,MOTOKAR,BLACK,SELANGOR
BENTLEY,CONTINENTAL GT,2014,SUBCOMPACT,4.0,8,AS8,15.4,9.8,12.9,22,297,PETROL,2025-01-09,MOTOKAR,GREY,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GT,2014,SUBCOMPACT,4.0,8,AS8,15.4,9.8,12.9,22,297,PETROL,2025-01-20,MOTOKAR,WHITE,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GT,2014,SUBCOMPACT,6.0,12,AS8,18.8,11.5,15.5,18,356,PETROL,2025-01-09,MOTOKAR,GREY,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GT,2014,SUBCOMPACT,6.0,12,AS8,18.8,11.5,15.5,18,356,PETROL,2025-01-20,MOTOKAR,WHITE,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GT CONVERTIBLE,2014,SUBCOMPACT,4.0,8,AS8,16.8,10.3,13.9,20,320,PETROL,2025-01-09,MOTOKAR,GREY,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GT CONVERTIBLE,2014,SUBCOMPACT,4.0,8,AS8,16.8,10.3,13.9,20,320,PETROL,2025-01-20,MOTOKAR,WHITE,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,2014,SUBCOMPACT,6.0,12,AS8,20.0,12.2,16.5,17,380,PETROL,2025-01-09,MOTOKAR,GREY,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,2014,SUBCOMPACT,6.0,12,AS8,20.0,12.2,16.5,17,380,PETROL,2025-01-20,MOTOKAR,WHITE,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GTC,2014,SUBCOMPACT,4.0,8,AS8,16.7,10.6,14.0,20,322,PETROL,2025-01-09,MOTOKAR,GREY,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GTC,2014,SUBCOMPACT,4.0,8,AS8,16.7,10.6,14.0,20,322,PETROL,2025-01-20,MOTOKAR,WHITE,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GTC,2014,SUBCOMPACT,6.0,12,AS8,20.0,12.2,16.5,17,380,PETROL,2025-01-09,MOTOKAR,GREY,W.P. KUALA LUMPUR
BENTLEY,CONTINENTAL GTC,2014,SUBCOMPACT,6.0,12,AS8,20.0,12.2,16.5,17,380,PETROL,2025-01-20,MOTOKAR,WHITE,W.P. KUALA LUMPUR
BENTLEY,MULSANNE,2014,MID-SIZE,6.8,8,AS8,22.3,14.9,19.0,15,437,PETROL,2025-03-13,MOTOKAR,BLACK,W.P. KUALA LUMPUR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-06,JIP,WHITE,PULAU PINANG
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-10,JIP,BLACK,SABAH
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-15,JIP,GREEN,W.P. KUALA LUMPUR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-17,JIP,BLACK,W.P. KUALA LUMPUR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-17,JIP,GREEN,PULAU PINANG
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-17,JIP,BLACK,JOHOR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-20,JIP,GREEN,MELAKA
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-23,JIP,WHITE,SARAWAK
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-23,JIP,SILVER,W.P. KUALA LUMPUR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-24,JIP,SILVER,W.P. KUALA LUMPUR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-24,JIP,WHITE,PULAU PINANG
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-24,JIP,BLACK,W.P. KUALA LUMPUR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-24,JIP,BLACK,PERAK
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-27,JIP,WHITE,PULAU PINANG
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-01-27,JIP,WHITE,W.P. KUALA LUMPUR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-02-02,JIP,WHITE,KEDAH
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-02-13,JIP,WHITE,JOHOR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-02-14,JIP,GREEN,W.P. KUALA LUMPUR
BMW,X1 xDRIVE28i,2014,SUV - SMALL,2.0,4,A8,10.6,7.2,9.1,31,209,PETROL,2025-02-14,JIP,SILVER,W.P. KUALA LUMPUR
