production_order_id,production_date,finished_product,material_id,quantity_consumed
PRD-019,2025-03-09,Protective Roof Paint,MAT007,500
PRD-019,2025-03-09,Protective Roof Paint,MAT013,400
PRD-019,2025-03-09,Protective Roof Paint,MAT020,500
PRD-020,2025-03-09,Wood Stain Brown,MAT002,100
PRD-020,2025-03-09,Wood Stain Brown,MAT007,140
PRD-020,2025-03-09,Wood Stain Brown,MAT012,80
PRD-020,2025-03-09,Wood Stain Brown,MAT016,180
PRD-021,2025-04-16,Anti-Rust Coating,MAT002,320
PRD-021,2025-04-16,Anti-Rust Coating,MAT008,400
PRD-021,2025-04-16,Anti-Rust Coating,MAT011,200
PRD-021,2025-04-16,Anti-Rust Coating,MAT018,200
PRD-022,2025-04-16,Clear Varnish,MAT006,270
PRD-022,2025-04-16,Clear Varnish,MAT013,180
PRD-022,2025-04-16,Clear Varnish,MAT015,90
PRD-022,2025-04-16,Clear Varnish,MAT016,240
PRD-023,2025-04-16,Epoxy Floor Coating,MAT008,360
PRD-023,2025-04-16,Epoxy Floor Coating,MAT003,120
PRD-023,2025-04-16,Epoxy Floor Coating,MAT011,180
PRD-023,2025-04-16,Epoxy Floor Coating,MAT018,180
PRD-024,2025-04-16,Industrial Grey Primer,MAT003,300
PRD-024,2025-04-16,Industrial Grey Primer,MAT006,400
PRD-024,2025-04-16,Industrial Grey Primer,MAT011,250
PRD-024,2025-04-16,Industrial Grey Primer,MAT017,400
PRD-025,2025-04-16,Marine Blue Coating,MAT004,240
PRD-025,2025-04-16,Marine Blue Coating,MAT008,400
PRD-025,2025-04-16,Marine Blue Coating,MAT011,220
PRD-025,2025-04-16,Marine Blue Coating,MAT018,220
PRD-026,2025-04-16,Premium White Paint 1L,MAT001,240
PRD-026,2025-04-16,Premium White Paint 1L,MAT006,180
PRD-026,2025-04-16,Premium White Paint 1L,MAT013,120
PRD-026,2025-04-16,Premium White Paint 1L,MAT016,300
PRD-027,2025-04-16,Protective Roof Paint,MAT001,750
PRD-027,2025-04-16,Protective Roof Paint,MAT007,500
PRD-027,2025-04-16,Protective Roof Paint,MAT013,400
PRD-027,2025-04-16,Protective Roof Paint,MAT020,500
PRD-028,2025-04-16,Wood Stain Brown,MAT002,150
PRD-028,2025-04-16,Wood Stain Brown,MAT007,210
PRD-028,2025-04-16,Wood Stain Brown,MAT012,120
PRD-028,2025-04-16,Wood Stain Brown,MAT016,270
PRD-029,2025-05-21,Anti-Rust Coating,MAT002,240
PRD-029,2025-05-21,Anti-Rust Coating,MAT008,300
PRD-029,2025-05-21,Anti-Rust Coating,MAT011,150
PRD-029,2025-05-21,Anti-Rust Coating,MAT018,150
PRD-030,2025-05-21,Automotive Red Paint,MAT002,280
PRD-030,2025-05-21,Automotive Red Paint,MAT007,320
PRD-030,2025-05-21,Automotive Red Paint,MAT011,180
PRD-030,2025-05-21,Automotive Red Paint,MAT016,360
PRD-031,2025-05-21,Clear Varnish,MAT006,270
PRD-031,2025-05-21,Clear Varnish,MAT013,180
PRD-031,2025-05-21,Clear Varnish,MAT015,90
PRD-031,2025-05-21,Clear Varnish,MAT016,240
PRD-032,2025-05-21,Premium White Paint 1L,MAT001,400
PRD-032,2025-05-21,Premium White Paint 1L,MAT006,300
PRD-032,2025-05-21,Premium White Paint 1L,MAT013,200
PRD-032,2025-05-21,Premium White Paint 1L,MAT016,500
PRD-033,2025-05-21,Premium White Paint 4L,MAT001,600
PRD-033,2025-05-21,Premium White Paint 4L,MAT006,450
PRD-033,2025-05-21,Premium White Paint 4L,MAT013,300
PRD-033,2025-05-21,Premium White Paint 4L,MAT017,300
PRD-034,2025-05-21,Wood Stain Brown,MAT002,100
PRD-034,2025-05-21,Wood Stain Brown,MAT007,140
PRD-034,2025-05-21,Wood Stain Brown,MAT012,80
PRD-034,2025-05-21,Wood Stain Brown,MAT016,180
PRD-035,2025-06-18,Clear Varnish,MAT006,360
PRD-035,2025-06-18,Clear Varnish,MAT013,240
PRD-035,2025-06-18,Clear Varnish,MAT015,120
PRD-035,2025-06-18,Clear Varnish,MAT016,320
PRD-036,2025-06-18,Industrial Grey Primer,MAT003,120
PRD-036,2025-06-18,Industrial Grey Primer,MAT006,160
PRD-036,2025-06-18,Industrial Grey Primer,MAT011,100
PRD-036,2025-06-18,Industrial Grey Primer,MAT017,160
PRD-037,2025-06-18,Marine Blue Coating,MAT004,240
PRD-037,2025-06-18,Marine Blue Coating,MAT008,400
PRD-037,2025-06-18,Marine Blue Coating,MAT011,220
PRD-037,2025-06-18,Marine Blue Coating,MAT018,220
PRD-038,2025-06-18,Premium White Paint 1L,MAT001,400
PRD-038,2025-06-18,Premium White Paint 1L,MAT006,300
PRD-038,2025-06-18,Premium White Paint 1L,MAT013,200
PRD-038,2025-06-18,Premium White Paint 1L,MAT016,500
PRD-039,2025-06-18,Protective Roof Paint,MAT001,750
PRD-039,2025-06-18,Protective Roof Paint,MAT007,500
PRD-039,2025-06-18,Protective Roof Paint,MAT013,400
PRD-039,2025-06-18,Protective Roof Paint,MAT020,500
PRD-040,2025-06-18,Wood Stain Brown,MAT002,200
PRD-040,2025-06-18,Wood Stain Brown,MAT007,280
PRD-040,2025-06-18,Wood Stain Brown,MAT012,160
PRD-040,2025-06-18,Wood Stain Brown,MAT016,360
PRD-041,2025-07-18,Anti-Rust Coating,MAT002,400
PRD-041,2025-07-18,Anti-Rust Coating,MAT008,500
PRD-041,2025-07-18,Anti-Rust Coating,MAT011,250
PRD-041,2025-07-18,Anti-Rust Coating,MAT018,250
PRD-042,2025-07-18,Clear Varnish,MAT006,360
PRD-042,2025-07-18,Clear Varnish,MAT013,240
PRD-042,2025-07-18,Clear Varnish,MAT015,120
PRD-042,2025-07-18,Clear Varnish,MAT016,320
PRD-043,2025-07-18,Epoxy Floor Coating,MAT008,480
PRD-043,2025-07-18,Epoxy Floor Coating,MAT003,160
PRD-043,2025-07-18,Epoxy Floor Coating,MAT011,240
PRD-043,2025-07-18,Epoxy Floor Coating,MAT018,240
PRD-044,2025-07-18,Industrial Grey Primer,MAT003,240
PRD-044,2025-07-18,Industrial Grey Primer,MAT006,320
PRD-044,2025-07-18,Industrial Grey Primer,MAT011,200
PRD-044,2025-07-18,Industrial Grey Primer,MAT017,320
PRD-045,2025-07-18,Marine Blue Coating,MAT004,300
PRD-045,2025-07-18,Marine Blue Coating,MAT008,500
PRD-045,2025-07-18,Marine Blue Coating,MAT011,275
PRD-045,2025-07-18,Marine Blue Coating,MAT018,275
PRD-046,2025-07-18,Premium White Paint 1L,MAT001,160
PRD-046,2025-07-18,Premium White Paint 1L,MAT006,120
PRD-046,2025-07-18,Premium White Paint 1L,MAT013,80
PRD-046,2025-07-18,Premium White Paint 1L,MAT016,200
PRD-047,2025-07-18,Premium White Paint 4L,MAT001,400
PRD-047,2025-07-18,Premium White Paint 4L,MAT006,300
PRD-047,2025-07-18,Premium White Paint 4L,MAT013,200
PRD-047,2025-07-18,Premium White Paint 4L,MAT017,200
PRD-048,2025-07-18,Protective Roof Paint,MAT001,300
PRD-048,2025-07-18,Protective Roof Paint,MAT007,200
PRD-048,2025-07-18,Protective Roof Paint,MAT013,160
PRD-048,2025-07-18,Protective Roof Paint,MAT020,200
PRD-049,2025-07-18,Wood Stain Brown,MAT002,200
PRD-049,2025-07-18,Wood Stain Brown,MAT007,280
PRD-049,2025-07-18,Wood Stain Brown,MAT012,160
PRD-049,2025-07-18,Wood Stain Brown,MAT016,360
PRD-050,2025-08-06,Automotive Red Paint,MAT002,350
PRD-050,2025-08-06,Automotive Red Paint,MAT007,400
PRD-050,2025-08-06,Automotive Red Paint,MAT011,225
PRD-050,2025-08-06,Automotive Red Paint,MAT016,450
PRD-051,2025-08-06,Clear Varnish,MAT006,360
PRD-051,2025-08-06,Clear Varnish,MAT013,240
PRD-051,2025-08-06,Clear Varnish,MAT015,120
PRD-051,2025-08-06,Clear Varnish,MAT016,320
PRD-052,2025-08-06,Epoxy Floor Coating,MAT008,240
PRD-052,2025-08-06,Epoxy Floor Coating,MAT003,80
PRD-052,2025-08-06,Epoxy Floor Coating,MAT011,120
PRD-052,2025-08-06,Epoxy Floor Coating,MAT018,120
PRD-053,2025-08-06,Industrial Grey Primer,MAT003,300
PRD-053,2025-08-06,Industrial Grey Primer,MAT006,400
PRD-053,2025-08-06,Industrial Grey Primer,MAT011,250
PRD-053,2025-08-06,Industrial Grey Primer,MAT017,400
PRD-054,2025-08-06,Marine Blue Coating,MAT004,300
PRD-054,2025-08-06,Marine Blue Coating,MAT008,500
PRD-054,2025-08-06,Marine Blue Coating,MAT011,275
PRD-054,2025-08-06,Marine Blue Coating,MAT018,275
PRD-055,2025-08-06,Premium White Paint 1L,MAT001,240
PRD-055,2025-08-06,Premium White Paint 1L,MAT006,180
PRD-055,2025-08-06,Premium White Paint 1L,MAT013,120
PRD-055,2025-08-06,Premium White Paint 1L,MAT016,300
PRD-056,2025-08-06,Premium White Paint 4L,MAT001,1000
PRD-056,2025-08-06,Premium White Paint 4L,MAT006,750
PRD-056,2025-08-06,Premium White Paint 4L,MAT013,500
PRD-056,2025-08-06,Premium White Paint 4L,MAT017,500
PRD-057,2025-08-06,Protective Roof Paint,MAT001,300
PRD-057,2025-08-06,Protective Roof Paint,MAT007,200
PRD-057,2025-08-06,Protective Roof Paint,MAT013,160
PRD-057,2025-08-06,Protective Roof Paint,MAT020,200
PRD-058,2025-08-06,Wood Stain Brown,MAT002,150
PRD-058,2025-08-06,Wood Stain Brown,MAT007,210
PRD-058,2025-08-06,Wood Stain Brown,MAT012,120
PRD-058,2025-08-06,Wood Stain Brown,MAT016,270
PRD-059,2025-09-25,Automotive Red Paint,MAT002,140
PRD-059,2025-09-25,Automotive Red Paint,MAT007,160
PRD-059,2025-09-25,Automotive Red Paint,MAT011,90
PRD-059,2025-09-25,Automotive Red Paint,MAT016,180
PRD-060,2025-09-25,Epoxy Floor Coating,MAT008,360
PRD-060,2025-09-25,Epoxy Floor Coating,MAT003,120
PRD-060,2025-09-25,Epoxy Floor Coating,MAT011,180
PRD-060,2025-09-25,Epoxy Floor Coating,MAT018,180
PRD-061,2025-09-25,Industrial Grey Primer,MAT003,240
PRD-061,2025-09-25,Industrial Grey Primer,MAT006,320
PRD-061,2025-09-25,Industrial Grey Primer,MAT011,200
PRD-061,2025-09-25,Industrial Grey Primer,MAT017,320
PRD-062,2025-09-25,Marine Blue Coating,MAT004,240
PRD-062,2025-09-25,Marine Blue Coating,MAT008,400
PRD-062,2025-09-25,Marine Blue Coating,MAT011,220
PRD-062,2025-09-25,Marine Blue Coating,MAT018,220
PRD-063,2025-09-25,Premium White Paint 1L,MAT001,160
PRD-063,2025-09-25,Premium White Paint 1L,MAT006,120
PRD-063,2025-09-25,Premium White Paint 1L,MAT013,80
PRD-063,2025-09-25,Premium White Paint 1L,MAT016,200
PRD-064,2025-09-25,Premium White Paint 4L,MAT001,400
PRD-064,2025-09-25,Premium White Paint 4L,MAT006,300
PRD-064,2025-09-25,Premium White Paint 4L,MAT013,200
PRD-064,2025-09-25,Premium White Paint 4L,MAT017,200
PRD-065,2025-09-25,Protective Roof Paint,MAT001,750
PRD-065,2025-09-25,Protective Roof Paint,MAT007,500
PRD-065,2025-09-25,Protective Roof Paint,MAT013,400
PRD-065,2025-09-25,Protective Roof Paint,MAT020,500
PRD-066,2025-09-25,Wood Stain Brown,MAT002,200
PRD-066,2025-09-25,Wood Stain Brown,MAT007,280
PRD-066,2025-09-25,Wood Stain Brown,MAT012,160
PRD-066,2025-09-25,Wood Stain Brown,MAT016,360
PRD-067,2025-10-19,Anti-Rust Coating,MAT002,400
PRD-067,2025-10-19,Anti-Rust Coating,MAT008,500
PRD-067,2025-10-19,Anti-Rust Coating,MAT011,250
PRD-067,2025-10-19,Anti-Rust Coating,MAT018,250
PRD-068,2025-10-19,Clear Varnish,MAT006,360
PRD-068,2025-10-19,Clear Varnish,MAT013,240
PRD-068,2025-10-19,Clear Varnish,MAT015,120
PRD-068,2025-10-19,Clear Varnish,MAT016,320
PRD-069,2025-10-19,Epoxy Floor Coating,MAT008,480
PRD-069,2025-10-19,Epoxy Floor Coating,MAT003,160
PRD-069,2025-10-19,Epoxy Floor Coating,MAT011,240
PRD-069,2025-10-19,Epoxy Floor Coating,MAT018,240
PRD-070,2025-10-19,Industrial Grey Primer,MAT003,300
PRD-070,2025-10-19,Industrial Grey Primer,MAT006,400
PRD-070,2025-10-19,Industrial Grey Primer,MAT011,250
PRD-070,2025-10-19,Industrial Grey Primer,MAT017,400
PRD-071,2025-10-19,Marine Blue Coating,MAT004,180
PRD-071,2025-10-19,Marine Blue Coating,MAT008,300
PRD-071,2025-10-19,Marine Blue Coating,MAT011,165
PRD-071,2025-10-19,Marine Blue Coating,MAT018,165
PRD-072,2025-10-19,Premium White Paint 1L,MAT001,160
PRD-072,2025-10-19,Premium White Paint 1L,MAT006,120
PRD-072,2025-10-19,Premium White Paint 1L,MAT013,80
PRD-072,2025-10-19,Premium White Paint 1L,MAT016,200
PRD-073,2025-10-19,Premium White Paint 4L,MAT001,1000
PRD-073,2025-10-19,Premium White Paint 4L,MAT006,750
PRD-073,2025-10-19,Premium White Paint 4L,MAT013,500
PRD-073,2025-10-19,Premium White Paint 4L,MAT017,500
PRD-074,2025-10-19,Wood Stain Brown,MAT002,100
PRD-074,2025-10-19,Wood Stain Brown,MAT007,140
PRD-074,2025-10-19,Wood Stain Brown,MAT012,80
PRD-074,2025-10-19,Wood Stain Brown,MAT016,180
PRD-075,2025-11-12,Anti-Rust Coating,MAT002,160
PRD-075,2025-11-12,Anti-Rust Coating,MAT008,200
PRD-075,2025-11-12,Anti-Rust Coating,MAT011,100
PRD-075,2025-11-12,Anti-Rust Coating,MAT018,100
PRD-076,2025-11-12,Automotive Red Paint,MAT002,210
PRD-076,2025-11-12,Automotive Red Paint,MAT007,240
PRD-076,2025-11-12,Automotive Red Paint,MAT011,135
PRD-076,2025-11-12,Automotive Red Paint,MAT016,270
PRD-077,2025-11-12,Clear Varnish,MAT006,270
PRD-077,2025-11-12,Clear Varnish,MAT013,180
PRD-077,2025-11-12,Clear Varnish,MAT015,90
PRD-077,2025-11-12,Clear Varnish,MAT016,240
PRD-078,2025-11-12,Epoxy Floor Coating,MAT008,360
PRD-078,2025-11-12,Epoxy Floor Coating,MAT003,120
PRD-078,2025-11-12,Epoxy Floor Coating,MAT011,180
PRD-078,2025-11-12,Epoxy Floor Coating,MAT018,180
PRD-079,2025-11-12,Industrial Grey Primer,MAT003,120
PRD-079,2025-11-12,Industrial Grey Primer,MAT006,160
PRD-079,2025-11-12,Industrial Grey Primer,MAT011,100
PRD-079,2025-11-12,Industrial Grey Primer,MAT017,160
PRD-080,2025-11-12,Marine Blue Coating,MAT004,240
PRD-080,2025-11-12,Marine Blue Coating,MAT008,400
PRD-080,2025-11-12,Marine Blue Coating,MAT011,220
PRD-080,2025-11-12,Marine Blue Coating,MAT018,220
PRD-081,2025-11-12,Premium White Paint 1L,MAT001,400
PRD-081,2025-11-12,Premium White Paint 1L,MAT006,300
PRD-081,2025-11-12,Premium White Paint 1L,MAT013,200
PRD-081,2025-11-12,Premium White Paint 1L,MAT016,500
PRD-082,2025-11-12,Premium White Paint 4L,MAT001,600
PRD-082,2025-11-12,Premium White Paint 4L,MAT006,450
PRD-082,2025-11-12,Premium White Paint 4L,MAT013,300
PRD-082,2025-11-12,Premium White Paint 4L,MAT017,300
PRD-083,2025-11-12,Protective Roof Paint,MAT001,600
PRD-083,2025-11-12,Protective Roof Paint,MAT007,400
PRD-083,2025-11-12,Protective Roof Paint,MAT013,320
PRD-083,2025-11-12,Protective Roof Paint,MAT020,400
PRD-084,2025-12-05,Protective Roof Paint,MAT001,0
PRD-084,2025-12-05,Protective Roof Paint,MAT007,0
PRD-084,2025-12-05,Protective Roof Paint,MAT013,0
PRD-084,2025-12-05,Protective Roof Paint,MAT020,0
PRD-085,2025-04-13,Industrial Grey Primer,MAT002,250
PRD-085,2025-04-13,Industrial Grey Primer,MAT008,100
PRD-086,2025-12-10,Wood Stain Brown,MAT013,300
PRD-086,2025-12-10,Wood Stain Brown,MAT001,400
PRD-086,2025-12-10,Wood Stain Brown,MAT017,300
PRD-087,2025-02-20,Epoxy Floor Coating,MAT003,100
PRD-087,2025-02-20,Epoxy Floor Coating,MAT004,50
PRD-087,2025-02-20,Epoxy Floor Coating,MAT013,100
PRD-087,2025-02-20,Epoxy Floor Coating,MAT016,250
PRD-087,2025-02-20,Epoxy Floor Coating,MAT002,100
PRD-088,2025-12-06,Epoxy Floor Coating,MAT020,400
PRD-088,2025-12-06,Epoxy Floor Coating,MAT004,100
PRD-088,2025-12-06,Epoxy Floor Coating,MAT007,100
PRD-088,2025-12-06,Epoxy Floor Coating,MAT015,200
PRD-088,2025-12-06,Epoxy Floor Coating,MAT006,100
PRD-089,2025-07-21,Industrial Grey Primer,MAT011,200
PRD-089,2025-07-21,Industrial Grey Primer,MAT002,200
PRD-089,2025-07-21,Industrial Grey Primer,MAT016,200
PRD-090,2025-02-10,Anti-Rust Coating,MAT018,400
PRD-090,2025-02-10,Anti-Rust Coating,MAT008,100
PRD-091,2025-02-10,Epoxy Floor Coating,MAT012,250
PRD-091,2025-02-10,Epoxy Floor Coating,MAT016,400
PRD-092,2025-05-11,Anti-Rust Coating,MAT004,400
PRD-092,2025-05-11,Anti-Rust Coating,MAT007,400
PRD-093,2025-08-25,Industrial Grey Primer,MAT002,150
PRD-093,2025-08-25,Industrial Grey Primer,MAT012,500
PRD-094,2025-12-14,Premium White Paint 4L,MAT013,50
PRD-094,2025-12-14,Premium White Paint 4L,MAT003,150
PRD-094,2025-12-14,Premium White Paint 4L,MAT008,100
PRD-094,2025-12-14,Premium White Paint 4L,MAT006,200
PRD-095,2025-06-01,Wood Stain Brown,MAT006,500
PRD-095,2025-06-01,Wood Stain Brown,MAT007,50
PRD-095,2025-06-01,Wood Stain Brown,MAT020,150
PRD-095,2025-06-01,Wood Stain Brown,MAT017,50
PRD-095,2025-06-01,Wood Stain Brown,MAT011,100
PRD-096,2025-05-10,Wood Stain Brown,MAT017,400
PRD-096,2025-05-10,Wood Stain Brown,MAT012,300
PRD-096,2025-05-10,Wood Stain Brown,MAT003,500
PRD-096,2025-05-10,Wood Stain Brown,MAT015,250
PRD-097,2025-04-08,Wood Stain Brown,MAT007,400
PRD-097,2025-04-08,Wood Stain Brown,MAT001,150
PRD-097,2025-04-08,Wood Stain Brown,MAT008,200
PRD-098,2025-12-18,Epoxy Floor Coating,MAT004,300
PRD-098,2025-12-18,Epoxy Floor Coating,MAT007,100
PRD-098,2025-12-18,Epoxy Floor Coating,MAT003,150
PRD-098,2025-12-18,Epoxy Floor Coating,MAT017,400
PRD-098,2025-12-18,Epoxy Floor Coating,MAT016,200
PRD-099,2025-05-24,Protective Roof Paint,MAT013,500
PRD-099,2025-05-24,Protective Roof Paint,MAT017,150
PRD-099,2025-05-24,Protective Roof Paint,MAT001,200
PRD-099,2025-05-24,Protective Roof Paint,MAT006,500
PRD-099,2025-05-24,Protective Roof Paint,MAT016,300
PRD-100,2025-04-30,Anti-Rust Coating,MAT008,100
PRD-100,2025-04-30,Anti-Rust Coating,MAT015,500
PRD-100,2025-04-30,Anti-Rust Coating,MAT007,300
PRD-100,2025-04-30,Anti-Rust Coating,MAT006,100
PRD-100,2025-04-30,Anti-Rust Coating,MAT012,100
PRD-101,2025-11-06,Clear Varnish,MAT016,200
PRD-101,2025-11-06,Clear Varnish,MAT008,150
PRD-101,2025-11-06,Clear Varnish,MAT001,150
PRD-101,2025-11-06,Clear Varnish,MAT006,300
PRD-101,2025-11-06,Clear Varnish,MAT003,400
PRD-102,2025-01-22,Wood Stain Brown,MAT001,150
PRD-102,2025-01-22,Wood Stain Brown,MAT003,200
PRD-102,2025-01-22,Wood Stain Brown,MAT004,150
PRD-103,2025-07-11,Anti-Rust Coating,MAT017,50
PRD-103,2025-07-11,Anti-Rust Coating,MAT008,200
PRD-103,2025-07-11,Anti-Rust Coating,MAT018,400
PRD-103,2025-07-11,Anti-Rust Coating,MAT003,250
PRD-103,2025-07-11,Anti-Rust Coating,MAT006,250
PRD-104,2025-06-10,Clear Varnish,MAT002,100
PRD-104,2025-06-10,Clear Varnish,MAT007,100
PRD-104,2025-06-10,Clear Varnish,MAT018,50
PRD-104,2025-06-10,Clear Varnish,MAT017,500
PRD-104,2025-06-10,Clear Varnish,MAT006,50
PRD-105,2025-10-26,Wood Stain Brown,MAT016,250
PRD-105,2025-10-26,Wood Stain Brown,MAT004,200
PRD-105,2025-10-26,Wood Stain Brown,MAT013,50
PRD-105,2025-10-26,Wood Stain Brown,MAT017,500
PRD-105,2025-10-26,Wood Stain Brown,MAT015,500
PRD-106,2025-05-22,Clear Varnish,MAT013,300
PRD-106,2025-05-22,Clear Varnish,MAT015,50
PRD-106,2025-05-22,Clear Varnish,MAT018,200
PRD-106,2025-05-22,Clear Varnish,MAT017,100
PRD-107,2025-11-22,Wood Stain Brown,MAT015,400
PRD-107,2025-11-22,Wood Stain Brown,MAT012,500
PRD-107,2025-11-22,Wood Stain Brown,MAT011,200
PRD-107,2025-11-22,Wood Stain Brown,MAT008,500
PRD-108,2025-09-26,Automotive Red Paint,MAT018,50
PRD-108,2025-09-26,Automotive Red Paint,MAT004,200
PRD-108,2025-09-26,Automotive Red Paint,MAT020,250
PRD-108,2025-09-26,Automotive Red Paint,MAT016,50
PRD-108,2025-09-26,Automotive Red Paint,MAT015,100
PRD-109,2025-05-02,Anti-Rust Coating,MAT004,100
PRD-109,2025-05-02,Anti-Rust Coating,MAT020,500
PRD-109,2025-05-02,Anti-Rust Coating,MAT018,150
PRD-109,2025-05-02,Anti-Rust Coating,MAT011,250
PRD-110,2025-03-27,Premium White Paint 4L,MAT016,300
PRD-110,2025-03-27,Premium White Paint 4L,MAT013,250
PRD-111,2025-04-10,Automotive Red Paint,MAT016,500
PRD-111,2025-04-10,Automotive Red Paint,MAT006,200
PRD-111,2025-04-10,Automotive Red Paint,MAT004,100
PRD-111,2025-04-10,Automotive Red Paint,MAT017,150
PRD-111,2025-04-10,Automotive Red Paint,MAT008,200
PRD-112,2025-02-02,Anti-Rust Coating,MAT016,400
PRD-112,2025-02-02,Anti-Rust Coating,MAT006,300
PRD-113,2025-09-10,Clear Varnish,MAT017,150
PRD-113,2025-09-10,Clear Varnish,MAT016,250
PRD-113,2025-09-10,Clear Varnish,MAT007,500
PRD-114,2025-08-05,Marine Blue Coating,MAT016,500
PRD-114,2025-08-05,Marine Blue Coating,MAT004,400
PRD-115,2025-07-09,Marine Blue Coating,MAT003,250
PRD-115,2025-07-09,Marine Blue Coating,MAT008,150
PRD-115,2025-07-09,Marine Blue Coating,MAT013,150
PRD-115,2025-07-09,Marine Blue Coating,MAT007,50
PRD-115,2025-07-09,Marine Blue Coating,MAT018,200
PRD-116,2025-08-21,Clear Varnish,MAT008,200
PRD-116,2025-08-21,Clear Varnish,MAT013,250
PRD-116,2025-08-21,Clear Varnish,MAT001,400
PRD-116,2025-08-21,Clear Varnish,MAT016,500
PRD-116,2025-08-21,Clear Varnish,MAT002,50
PRD-117,2025-02-08,Marine Blue Coating,MAT013,300
PRD-117,2025-02-08,Marine Blue Coating,MAT017,400
